"name,brand,price,ram,storage,processor,display,battery,category,other_features"
"iPhone 13 Pro,Apple,99900,6,128,Apple A15,6.1"" OLED,22,Phone,Ceramic Shield"
"iPhone SE,Apple,42900,4,64,Apple A15,4.7"" LCD,13,Phone,Touch ID"
"Samsung Galaxy S21 Ultra,Samsung,89900,12,256,Exynos 2100,6.8"" AMOLED,25,Phone,S Pen Support"
"Samsung Galaxy Z Flip 3,Samsung,74900,8,256,Snapdragon 888,6.7"" Foldable,15,Phone,Flex Mode"
"Google Pixel 6 Pro,Google,69900,12,128,Google Tensor,6.7"" OLED,23,Phone,Magic Eraser"
"OnePlus 9 Pro,OnePlus,64900,12,256,Snapdragon 888,6.7"" AMOLED,20,Phone,Warp Charge 65T"
"Xiaomi Mi 11 Ultra,Xiaomi,79900,12,256,Snapdragon 888,6.81"" AMOLED,20,Phone,Secondary Display"
"Oppo Find X3 Pro,Oppo,79900,12,256,Snapdragon 888,6.7"" AMOLED,18,Phone,Microscope Camera"
"Vivo X70 Pro+,Vivo,79900,12,256,Snapdragon 888+,6.78"" AMOLED,17,Phone,Gimbal Camera"
"Realme GT 2 Pro,Realme,49900,12,256,Snapdragon 8 Gen1,6.7"" AMOLED,18,Phone,Paper Texture Back"
"Asus ROG Phone 5,Asus,59900,16,256,Snapdragon 888,6.78"" AMOLED,18,Phone,AirTrigger 5"
"Sony Xperia 1 III,Sony,99900,12,256,Snapdragon 888,6.5"" 4K OLED,12,Phone,4K 120Hz"
"Nokia X100,Nokia,29900,6,128,Snapdragon 480,6.67"" LCD,15,Phone,5G Ready"
"Motorola Edge 20 Pro,Motorola,39900,12,256,Snapdragon 870,6.7"" OLED,15,Phone,144Hz Display"
"BlackBerry KEY2,BlackBerry,49900,6,128,Snapdragon 660,4.5"" LCD,12,Phone,Physical Keyboard"
"LG Wing,LG,59900,8,128,Snapdragon 765G,6.8"" Swivel,15,Phone,Swivel Display"
"Huawei P50 Pro,Huawei,89900,8,256,Kirin 9000,6.6"" OLED,15,Phone,Leica Camera"
"ZTE Axon 30 Ultra,ZTE,49900,12,256,Snapdragon 888,6.67"" AMOLED,16,Phone,144Hz Refresh Rate"
"Redmi Note 11 Pro,Xiaomi,24900,8,128,MediaTek Dimensity 920,6.67"" AMOLED,16,Phone,108MP Camera"
"Nothing Phone 1,Nothing,32900,8,128,Snapdragon 778G,6.55"" OLED,18,Phone,Glyph Interface"
