"name,brand,price,ram,storage,processor,display,battery,category,other_features"
"iPad Pro 12.9,Apple,99900,8,256,Apple M1,12.9"" Liquid Retina,10,Tablet,ProMotion"
"iPad Air,Apple,54900,4,256,Apple A14,10.9"" Retina,9,Tablet,USB-C"
"iPad Mini,Apple,46900,4,64,Apple A15,8.3"" Retina,8,Tablet,Landscape Stereo"
"Samsung Galaxy Tab S8 Ultra,Samsung,89900,12,256,Snapdragon 8 Gen1,14.6"" AMOLED,15,Tablet,S Pen"
"Samsung Galaxy Tab A7,Samsung,19900,3,32,Snapdragon 662,10.4"" LCD,8,Tablet,Dolby Atmos"
"Microsoft Surface Pro 8,Microsoft,89900,16,256,Intel i5,13"" PixelSense,10,Tablet,120Hz"
"Microsoft Surface Go 3,Microsoft,34900,8,128,Intel Pentium,10.5"" LCD,9,Tablet,Kickstand"
"Lenovo Tab P11 Pro,Lenovo,39900,6,128,Snapdragon 730G,11.5"" OLED,10,Tablet,Dolby Vision"
"Huawei MatePad Pro,Huawei,49900,8,256,Kirin 9000E,12.6"" OLED,10,Tablet,M-Pencil"
"Xiaomi Pad 5,Xiaomi,29900,6,128,Snapdragon 860,11"" LCD,10,Tablet,120Hz"
"Amazon Fire HD 10,Amazon,14900,3,32,MediaTek,10.1"" LCD,12,Tablet,Alexa"
"Amazon Fire 7,Amazon,6990,2,32,MediaTek,7"" LCD,7,Tablet,Kids Edition"
"Oppo Pad,Oppo,29900,6,128,Snapdragon 870,11"" LCD,10,Tablet,Stylus Support"
"Vivo Pad,Vivo,29900,8,128,Snapdragon 870,11"" LCD,10,Tablet,OriginOS HD"
"Realme Pad,Realme,19900,4,64,MediaTek Helio G80,10.4"" LCD,10,Tablet,7100mAh"
"Nokia T20,Nokia,19900,4,64,Unisoc T610,10.4"" LCD,10,Tablet,Android 11"
"Alldocube iPlay 40,Alldocube,14900,6,128,Unisoc T618,10.4"" LCD,10,Tablet,4G LTE"
"Blackview Tab 7,Blackview,9990,3,32,MediaTek MT8768,10.1"" LCD,8,Tablet,Dual SIM"
"Chuwi HiPad X,Chuwi,19900,6,128,Unisoc T618,10.1"" LCD,10,Tablet,2K Display"
"Teclast P40HD,Teclast,14900,4,64,Unisoc SC9863A,10.1"" LCD,8,Tablet,Dual Speakers"
